"edu","edu_cat","Freq","total","pct","country"
"03 elementary","01 less than secondary",6393,141803,0.0450836724187782,"Korea (0110)"
"04 lower secondary","01 less than secondary",11947,141803,0.0842506858105964,"Korea (0110)"
"05 upper secondary","02 secondary",54370,141803,0.38341925065055,"Korea (0110)"
"06 2-years college","03 More than secondary",24299,141803,0.17135744659845,"Korea (0110)"
"07 university (4 years or more)","03 More than secondary",38011,141803,0.268054977680303,"Korea (0110)"
"08 graduate school (masters)","03 More than secondary",5339,141803,0.0376508254409286,"Korea (0110)"
