"edu","edu_cat","Freq","total","pct","country"
"02 elementary school","01 less than secondary",603,24710,0.0244030756778632,"Netherlands (ba016)"
"03 vocational education (vmbo/lbo/mavo)","01 less than secondary",5725,24710,0.23168757588021,"Netherlands (ba016)"
"04 intermediate education (mbo/havo/vwo)","02 secondary",9419,24710,0.381181707810603,"Netherlands (ba016)"
"05 higher vocational education (hbo)","03 More than secondary",6228,24710,0.252043707001214,"Netherlands (ba016)"
"06 tertiery education (wo - soi 6,7)","03 More than secondary",2701,24710,0.109307972480777,"Netherlands (ba016)"
