"edu","edu_cat","Freq","total","pct","country"
"01 None","01 less than secondary",391,55694,0.00702050490178475,"Italy (studio)"
"02 Elementary school","01 less than secondary",3352,55694,0.060186016447014,"Italy (studio)"
"03 Middle school","01 less than secondary",23223,55694,0.416974898552806,"Italy (studio)"
"04 High school","02 secondary",20060,55694,0.360182425395913,"Italy (studio)"
"05 Bachelors degree","03 More than secondary",8189,55694,0.147035587316408,"Italy (studio)"
"06 Post-graduate qualification","03 More than secondary",479,55694,0.0086005673860739,"Italy (studio)"
