"edu","edu_cat","Freq","total","pct","country"
"08 Year 12","01 less than secondary",18969,140076,0.135419343784803,"Australia (esdtl)"
"09 Year 11 and below","01 less than secondary",30640,140076,0.218738399154745,"Australia (esdtl)"
"04 Adv diploma, diploma","02 secondary",14400,140076,0.102801336417373,"Australia (esdtl)"
"05 Cert III or IV","02 secondary",33751,140076,0.240947771209915,"Australia (esdtl)"
"01 Postgrad - masters or doctorate","03 More than secondary",7960,140076,0.0568262942973814,"Australia (esdtl)"
"02 Grad diploma, grad certificate","03 More than secondary",9309,140076,0.0664567806048145,"Australia (esdtl)"
"03 Bachelors or honours","03 More than secondary",25005,140076,0.178510237299752,"Australia (esdtl)"
