"edu","edu_cat","Freq","total","pct","country"
"01 Elementary school","01 less than secondary",754,39571,0.0190543579894367,"Japan (v106)"
"02 High school","02 secondary",16934,39571,0.427939652776023,"Japan (v106)"
"03 Junior college","02 secondary",7094,39571,0.179272699704329,"Japan (v106)"
"04 University","03 More than secondary",10547,39571,0.266533572565768,"Japan (v106)"
"05 Graduate school","03 More than secondary",991,39571,0.025043592529883,"Japan (v106)"
"06 Other","04 Other",3122,39571,0.0788961613302671,"Japan (v106)"
