"edu","edu_cat","Freq","total","pct","country"
"05 Other qualification","01 less than secondary",23512,293874,0.080007077863302,"United Kingdom (hiqual_dv)"
"09 No qualification","01 less than secondary",22825,293874,0.0776693412823183,"United Kingdom (hiqual_dv)"
"02 Other higher degree","02 secondary",34132,293874,0.116145014530037,"United Kingdom (hiqual_dv)"
"03 A-level","02 secondary",60200,293874,0.2048496974894,"United Kingdom (hiqual_dv)"
"04 GCSE etc","02 secondary",64923,293874,0.220921211131301,"United Kingdom (hiqual_dv)"
"01 Degree","03 More than secondary",83346,293874,0.283611343637069,"United Kingdom (hiqual_dv)"
"00 Missing","Missing",4936,293874,0.0167963140665728,"United Kingdom (hiqual_dv)"
