"lfp","emp","Freq","total","pct","country"
"05 Not employed","0 Unemployed",59850,266534,0.224549213233584,"Germany (pgemplst)"
"01 Full-time employment","1 Employed",142935,266534,0.536273045840306,"Germany (pgemplst)"
"02 Regular part-time employment","1 Employed",46931,266534,0.176078849227491,"Germany (pgemplst)"
"04 Marginal, irregular part-time employment","Not in labour force",14603,266534,0.054788507282373,"Germany (pgemplst)"
