"emp_status","contyp","Freq","total","pct","country"
"NA Missing","00 Missing",9440,63775,0.148020384163073,"Switzerland (pw36)"
"02 Temporary","01 Yes",3474,63775,0.0544727557820463,"Switzerland (pw36)"
"01 Permanent","02 No",50861,63775,0.79750686005488,"Switzerland (pw36)"
