"lfp","emp","Freq","total","pct","country"
"05 Unemployed","0 Unemployed",1967,55694,0.0353179875749632,"Italy (nonoc)"
"00 employed","1 Employed",48338,55694,0.86792114051783,"Italy (nonoc)"
"02 homemaker","Not in labour force",3035,55694,0.0544942004524724,"Italy (nonoc)"
"04 pensioner","Not in labour force",1702,55694,0.0305598448665925,"Italy (nonoc)"
