"emp_status","contyp","Freq","total","pct","country"
"NA Missing","00 Missing",3971,201199,0.0197366786117227,"United Kingdom (jbterm1)"
"01 Permanent","01 A permanent job",188143,201199,0.935109021416607,"United Kingdom (jbterm1)"
"02 Temporary","02 Or is there some way that it is not permanent?",9085,201199,0.0451542999716698,"United Kingdom (jbterm1)"
