"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2013","2013","PC","Percentage","0","Units",,,5.725,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2014","2014","PC","Percentage","0","Units",,,6.03333333333333,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2015","2015","PC","Percentage","0","Units",,,6.15,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2016","2016","PC","Percentage","0","Units",,,6.45,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2017","2017","PC","Percentage","0","Units",,,5.925,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2018","2018","PC","Percentage","0","Units",,,5.20833333333333,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2019","2019","PC","Percentage","0","Units",,,4.84166666666667,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2020","2020","PC","Percentage","0","Units",,,6.025,"P","Provisional value"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2000","2000","PC","Percentage","0","Units",,,6.875,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2001","2001","PC","Percentage","0","Units",,,6.59166666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2002","2002","PC","Percentage","0","Units",,,7.525,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2003","2003","PC","Percentage","0","Units",,,8.175,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2004","2004","PC","Percentage","0","Units",,,8.39166666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2005","2005","PC","Percentage","0","Units",,,8.43333333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2006","2006","PC","Percentage","0","Units",,,8.25,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2007","2007","PC","Percentage","0","Units",,,7.48333333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2008","2008","PC","Percentage","0","Units",,,6.975,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2009","2009","PC","Percentage","0","Units",,,7.89166666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2010","2010","PC","Percentage","0","Units",,,8.31666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2011","2011","PC","Percentage","0","Units",,,7.16666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2012","2012","PC","Percentage","0","Units",,,7.56666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2013","2013","PC","Percentage","0","Units",,,8.45,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2014","2014","PC","Percentage","0","Units",,,8.53333333333334,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2015","2015","PC","Percentage","0","Units",,,8.5,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2016","2016","PC","Percentage","0","Units",,,7.85833333333333,"B","Break"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2017","2017","PC","Percentage","0","Units",,,7.1,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2018","2018","PC","Percentage","0","Units",,,5.95833333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2019","2019","PC","Percentage","0","Units",,,5.36666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2020","2020","PC","Percentage","0","Units",,,5.54166666666667,"B","Break"
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2000","2000","PC","Percentage","0","Units",,,6.81666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2001","2001","PC","Percentage","0","Units",,,7.21666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2002","2002","PC","Percentage","0","Units",,,7.675,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2003","2003","PC","Percentage","0","Units",,,7.575,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2004","2004","PC","Percentage","0","Units",,,7.19166666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2005","2005","PC","Percentage","0","Units",,,6.75833333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2006","2006","PC","Percentage","0","Units",,,6.35,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2007","2007","PC","Percentage","0","Units",,,6.06666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2008","2008","PC","Percentage","0","Units",,,6.175,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2009","2009","PC","Percentage","0","Units",,,8.375,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2010","2010","PC","Percentage","0","Units",,,8.11666666666667,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2011","2011","PC","Percentage","0","Units",,,7.55833333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2012","2012","PC","Percentage","0","Units",,,7.33333333333333,,
"LRHUTTTT","Monthly unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2013","2013","PC","Percentage","0","Units",,,7.125,,
